TotalScore,TotalLevelsCrossed,TotalEnemiesKilled,TotalTimeRequired
250.0,3,4,1.09
750.0,3,14,2.36
1050.0,5,20,7.1
900.0,4,17,4.36
200.0,3,3,1.07
560.0,3,9,1.49
500.0,2,9,6.93
960.0,3,17,7.12
640.0,3,11,1.9
600.0,2,11,6.87
650.0,4,12,2.92
700.0,3,13,2.5
1370.0,5,24,6.0
400.0,3,5,0.99
500.0,3,9,2.17
650.0,2,12,6.92
650.0,3,12,1.76
500.0,3,9,1.32
450.0,3,8,1.02
960.0,3,17,2.3
450.0,3,8,1.91
550.0,3,10,5.39
550.0,3,10,1.97
1260.0,5,23,6.74
960.0,3,17,3.53
500.0,2,9,7.37
660.0,3,9,3.65
650.0,3,12,7.19
390.0,3,6,5.74
550.0,3,10,1.37
400.0,3,7,3.56
350.0,3,6,1.25
600.0,4,11,2.89
700.0,3,13,4.73
400.0,3,5,1.1
600.0,4,11,1.78
500.0,3,9,2.38
500.0,3,9,1.89
250.0,3,4,1.13
600.0,4,11,2.91
1670.0,6,29,6.15
610.0,3,10,3.41
550.0,4,10,3.62
300.0,3,5,1.25
750.0,4,14,4.84
450.0,3,8,1.65
350.0,3,6,1.12
1150.0,5,22,7.17
570.0,3,9,2.72
840.0,5,13,7.36
250.0,3,4,0.83
250.0,1,4,8.22
350.0,3,6,1.07
710.0,3,12,3.35
250.0,1,2,7.59
640.0,4,11,4.83
650.0,3,12,1.95
1630.0,7,28,6.5
750.0,4,14,2.17
350.0,3,6,6.0
1210.0,5,22,5.52
400.0,3,7,1.11
450.0,3,8,0.89
450.0,2,6,7.52
500.0,3,9,1.62
650.0,3,12,3.82
860.0,4,15,2.53
400.0,2,7,8.55
750.0,4,14,2.5
1460.0,6,27,7.41
1520.0,7,27,9.15
1120.0,4,20,8.31
830.0,4,15,5.68
650.0,4,12,2.95
650.0,3,12,2.01
200.0,3,3,1.0
450.0,3,8,1.3
600.0,3,11,2.4
500.0,3,9,8.96
600.0,2,11,9.22
250.0,3,4,1.46
400.0,3,7,2.95
640.0,4,11,6.77
960.0,4,17,3.69
650.0,2,12,7.67
250.0,3,4,0.9
950.0,4,18,2.57
810.0,3,14,7.46
810.0,3,14,6.51
660.0,3,11,1.88
1250.0,6,22,4.71
250.0,1,4,7.92
500.0,3,9,5.8
350.0,3,6,1.67
690.0,3,12,3.72
550.0,3,10,9.12
800.0,4,13,2.95
400.0,3,7,2.21
440.0,3,7,5.01
700.0,3,13,8.21
500.0,3,9,1.89
450.0,2,8,10.77
1350.0,6,24,9.35
820.0,3,14,6.36
250.0,3,4,1.1
500.0,3,9,3.47
450.0,3,8,2.34
550.0,3,10,1.77
550.0,2,10,10.51
860.0,5,15,9.3
650.0,3,12,8.97
450.0,3,8,1.69
960.0,4,17,6.75
400.0,3,7,2.66
1360.0,5,23,5.7
500.0,3,9,3.12
150.0,3,2,1.09
1060.0,6,16,6.59
950.0,4,18,7.76
400.0,3,7,1.64
950.0,5,18,6.56
1410.0,6,26,7.15
500.0,3,9,5.22
550.0,2,10,8.79
750.0,3,14,8.75
650.0,3,12,2.86
